a,b,c,d
-0.996802714,0.009715019,1.13E-05,2.32E-08
-0.97944442,0.024974313,2.88E-05,3.95E-07
-0.946955895,0.039894763,4.45E-05,1.61E-06
-0.899828747,0.054201194,5.74E-05,4.04E-06
-0.838790434,0.067670153,6.68E-05,7.86E-06
-0.764784363,0.080093054,7.21E-05,1.30E-05
-0.678954604,0.091277748,7.29E-05,1.93E-05
-0.58262807,0.101051287,6.93E-05,2.62E-05
-0.47729398,0.10926256,6.14E-05,3.31E-05
-0.364580815,0.115784611,4.97E-05,3.94E-05
-0.246231146,0.120516608,3.49E-05,4.44E-05
-0.124074685,0.123385389,1.80E-05,4.76E-05
4.60E-17,0.124346603,1.18E-17,4.88E-05
0.124074685,0.123385389,-1.80E-05,4.76E-05
0.246231146,0.120516608,-3.49E-05,4.44E-05
0.364580815,0.115784611,-4.97E-05,3.94E-05
0.47729398,0.10926256,-6.14E-05,3.31E-05
0.58262807,0.101051287,-6.93E-05,2.62E-05
0.678954604,0.091277748,-7.29E-05,1.93E-05
0.764784363,0.080093054,-7.21E-05,1.30E-05
0.838790434,0.067670153,-6.68E-05,7.86E-06
0.899828747,0.054201194,-5.74E-05,4.04E-06
0.946955895,0.039894763,-4.45E-05,1.61E-06
0.97944442,0.024974313,-2.88E-05,3.95E-07
0.996802714,0.009715019,-1.13E-05,2.32E-08
